jobId,payPeriod,rate,season
1,Monthly,12,Summer
2,Flat sum,15,Spring
3,Flat sum,14,Summer
4,Monthly,11,Spring
5,Flat sum,11,Summer
6,Flat sum,12,Summer
7,Flat sum,12,Fall
8,Hourly,15,Summer
9,Weekly,10,Fall
10,Flat sum,15,Spring
11,Hourly,16,Spring
12,Flat sum,11,Summer
13,Monthly,18,Fall
14,Monthly,10,Spring
15,Flat sum,18,Summer
16,Weekly,10,Fall
17,Hourly,11,Spring
18,Hourly,15,Summer
19,Flat sum,11,Summer
20,Weekly,12,Fall
21,Hourly,15,Spring
22,Flat sum,11,Fall
23,Monthly,13,Winter
24,Flat sum,16,Winter
25,Flat sum,17,Spring
26,Hourly,12,Summer
27,Flat sum,18,Spring
28,Flat sum,16,Spring
29,Hourly,17,Summer
30,Monthly,11,Fall
31,Monthly,15,Spring
32,Hourly,15,Fall
33,Flat sum,18,Fall
34,Flat sum,17,Fall
35,Hourly,13,Winter
36,Flat sum,14,Fall
37,Monthly,13,Summer
38,Hourly,12,Summer
39,Weekly,12,Winter
40,Weekly,16,Summer
41,Monthly,12,Summer
42,Hourly,18,Fall
43,Monthly,10,Spring
44,Hourly,11,Fall
45,Weekly,11,Summer
46,Weekly,12,Fall
47,Monthly,14,Fall
48,Monthly,16,Fall
49,Weekly,10,Summer
50,Hourly,11,Fall
51,Monthly,11,Summer
52,Monthly,11,Spring
53,Weekly,15,Summer
54,Weekly,15,Fall
55,Hourly,14,Winter
56,Hourly,11,Spring
57,Monthly,13,Spring
58,Monthly,12,Winter
59,Hourly,11,Spring
60,Flat sum,14,Summer
61,Flat sum,12,Summer
62,Weekly,12,Summer
63,Monthly,15,Winter
64,Weekly,13,Spring
65,Monthly,14,Fall
66,Flat sum,15,Winter
67,Monthly,13,Summer
68,Hourly,17,Summer
69,Flat sum,14,Spring
70,Weekly,11,Winter
71,Weekly,10,Winter
72,Hourly,14,Fall
73,Monthly,10,Winter
74,Weekly,10,Fall
75,Weekly,17,Fall
76,Weekly,17,Fall
77,Flat sum,13,Fall
78,Weekly,18,Fall
79,Weekly,16,Summer
80,Hourly,17,Spring
81,Monthly,18,Fall
82,Monthly,10,Fall
83,Flat sum,14,Summer
84,Flat sum,17,Winter
85,Weekly,18,Fall
86,Flat sum,12,Fall
87,Weekly,18,Fall
88,Monthly,10,Summer
89,Weekly,14,Spring
90,Monthly,11,Summer
91,Hourly,11,Spring
92,Weekly,16,Summer
93,Monthly,17,Spring
94,Weekly,12,Winter
95,Flat sum,16,Spring
96,Monthly,10,Winter
97,Weekly,14,Spring
98,Weekly,11,Winter
99,Monthly,18,Summer
100,Monthly,16,Spring
101,Flat sum,13,Spring
102,Hourly,10,Fall
103,Flat sum,12,Fall
104,Monthly,13,Fall
105,Monthly,11,Spring
106,Monthly,18,Summer
107,Weekly,17,Winter
108,Flat sum,11,Summer
109,Hourly,18,Winter
110,Flat sum,10,Winter
111,Hourly,10,Spring
112,Flat sum,14,Spring
113,Monthly,10,Winter
114,Monthly,11,Summer
115,Weekly,11,Summer
116,Hourly,12,Summer
117,Hourly,11,Fall
118,Hourly,10,Summer
119,Monthly,14,Summer
120,Hourly,12,Summer
121,Monthly,18,Fall
122,Monthly,12,Winter
123,Flat sum,18,Fall
124,Hourly,14,Spring
125,Weekly,18,Spring
126,Monthly,16,Spring
127,Hourly,12,Summer
128,Hourly,12,Winter
129,Hourly,11,Fall
130,Hourly,12,Spring
131,Hourly,11,Summer
132,Flat sum,16,Spring
133,Weekly,14,Fall
134,Hourly,12,Spring
135,Flat sum,17,Winter
136,Flat sum,17,Spring
137,Weekly,10,Summer
138,Monthly,15,Spring
139,Hourly,17,Fall
140,Weekly,17,Summer
141,Flat sum,14,Winter
142,Hourly,11,Winter
143,Flat sum,11,Winter
144,Flat sum,14,Spring
145,Flat sum,17,Spring
146,Flat sum,15,Summer
147,Weekly,17,Spring
148,Weekly,16,Fall
149,Monthly,11,Winter
150,Monthly,17,Spring
