Job ID,Pay Period,Rate,Season
1,Monthly,12,Summer
2,Flat sum,17,Spring
3,Flat sum,15,Summer
4,Monthly,15,Spring
5,Flat sum,16,Summer
6,Flat sum,12,Summer
7,Flat sum,13,Fall
8,Hourly,12,Summer
9,Weekly,12,Fall
10,Flat sum,13,Spring
11,Hourly,15,Spring
12,Flat sum,17,Summer
13,Monthly,13,Fall
14,Monthly,15,Spring
15,Flat sum,17,Summer
16,Weekly,13,Fall
17,Hourly,18,Spring
18,Hourly,12,Summer
19,Flat sum,11,Summer
20,Weekly,10,Fall
21,Hourly,12,Spring
22,Flat sum,13,Fall
23,Monthly,10,Winter
24,Flat sum,16,Winter
25,Flat sum,18,Spring
26,Hourly,15,Summer
27,Flat sum,18,Spring
28,Flat sum,18,Spring
29,Hourly,17,Summer
30,Monthly,13,Fall
31,Monthly,17,Spring
32,Hourly,10,Fall
33,Flat sum,17,Fall
34,Flat sum,13,Fall
35,Hourly,18,Winter
36,Flat sum,16,Fall
37,Monthly,12,Summer
38,Hourly,13,Summer
39,Weekly,12,Winter
40,Weekly,16,Summer
41,Monthly,13,Summer
42,Hourly,13,Fall
43,Monthly,18,Spring
44,Hourly,13,Fall
45,Weekly,14,Summer
46,Weekly,11,Fall
47,Monthly,10,Fall
48,Monthly,15,Fall
49,Weekly,17,Summer
50,Hourly,12,Fall
51,Monthly,14,Summer
52,Monthly,16,Spring
53,Weekly,11,Summer
54,Weekly,14,Fall
55,Hourly,17,Winter
56,Hourly,18,Spring
57,Monthly,11,Spring
58,Monthly,16,Winter
59,Hourly,15,Spring
60,Flat sum,10,Summer
61,Flat sum,10,Summer
62,Weekly,10,Summer
63,Monthly,13,Winter
64,Weekly,15,Spring
65,Monthly,17,Fall
66,Flat sum,16,Winter
67,Monthly,15,Summer
68,Hourly,10,Summer
69,Flat sum,12,Spring
70,Weekly,12,Winter
71,Weekly,18,Winter
72,Hourly,15,Fall
73,Monthly,13,Winter
74,Weekly,10,Fall
75,Weekly,14,Fall
76,Weekly,18,Fall
77,Flat sum,11,Fall
78,Weekly,10,Fall
79,Weekly,13,Summer
80,Hourly,13,Spring
81,Monthly,13,Fall
82,Monthly,12,Fall
83,Flat sum,13,Summer
84,Flat sum,13,Winter
85,Weekly,11,Fall
86,Flat sum,17,Fall
87,Weekly,12,Fall
88,Monthly,17,Summer
89,Weekly,12,Spring
90,Monthly,17,Summer
91,Hourly,10,Spring
92,Weekly,15,Summer
93,Monthly,11,Spring
94,Weekly,18,Winter
95,Flat sum,18,Spring
96,Monthly,10,Winter
97,Weekly,18,Spring
98,Weekly,11,Winter
99,Hourly,14,Fall
100,Monthly,18,Spring
101,Flat sum,13,Spring
102,Hourly,12,Fall
103,Flat sum,10,Fall
104,Monthly,10,Fall
105,Monthly,13,Spring
106,Monthly,18,Summer
107,Weekly,18,Winter
108,Flat sum,12,Summer
109,Hourly,10,Winter
110,Flat sum,13,Winter
111,Hourly,10,Spring
112,Flat sum,16,Spring
113,Monthly,10,Winter
114,Monthly,12,Summer
115,Weekly,13,Summer
116,Hourly,15,Summer
117,Hourly,17,Fall
118,Hourly,17,Summer
119,Monthly,16,Summer
120,Hourly,16,Summer
121,Monthly,14,Fall
122,Monthly,11,Winter
123,Flat sum,13,Fall
124,Hourly,15,Spring
125,Weekly,10,Spring
126,Monthly,14,Spring
127,Hourly,18,Summer
128,Hourly,18,Winter
129,Hourly,18,Fall
130,Hourly,16,Spring
131,Hourly,12,Summer
132,Flat sum,16,Spring
133,Weekly,18,Fall
134,Hourly,14,Spring
135,Flat sum,12,Winter
136,Flat sum,15,Spring
137,Weekly,16,Summer
138,Monthly,17,Spring
139,Hourly,14,Fall
140,Weekly,13,Summer
141,Flat sum,18,Winter
142,Hourly,11,Winter
143,Flat sum,12,Winter
144,Flat sum,17,Spring
145,Flat sum,11,Spring
146,Flat sum,17,Summer
147,Weekly,15,Spring
148,Weekly,12,Fall
149,Monthly,13,Winter
150,Monthly,14,Spring
301,Hourly,16,Summer
302,Hourly,14,Spring
303,Hourly,19,Fall
304,Hourly,13,Spring
305,Hourly,13,Winter
306,Hourly,20,Spring
307,Hourly,13,Summer
308,Hourly,16,Spring
309,Hourly,16,Fall
310,Hourly,20,Summer
311,Hourly,17,Winter
312,Hourly,12,Summer
313,Hourly,20,Winter
314,Hourly,14,Spring
315,Hourly,15,Spring
316,Hourly,19,Summer
317,Hourly,17,Spring
318,Hourly,13,Fall
319,Hourly,16,Winter
